ccaa,cnpufamproteccio,cnpufaminvestigacio,cnptotal,gcemume,mossos,poblacio,area,perpoblacio,perarea
La Rioja,2,8,10,9,0,136660,5045,13.9,3.77
Cantàbria,6,7,13,9,0,258922,5321,8.5,4.13
Navarra,4,8,12,11,0,277640,10391,8.28,2.21
Extremadura,15,21,36,34,0,463396,41634,15.11,1.68
Asturies,14,23,37,24,0,476574,10604,12.8,5.75
Illes Balears,13,25,38,18,0,486701,4992,11.51,11.22
Aragó,18,11,29,23,0,572504,47720,9.08,1.09
Murcia,18,18,36,24,0,612919,11314,9.79,5.3
Castella-La Manxa,23,42,65,50,0,856579,79461,13.43,1.45
Canàries,36,47,83,32,0,936662,7447,12.28,15.44
Castella i Lleó,33,58,91,66,0,1069220,94224,14.68,1.67
Galícia,30,48,78,48,0,1234067,29575,10.21,4.26
Comunitat Valenciana,59,106,165,80,0,2153378,23255,11.38,10.54
Madrid,67,126,193,33,0,2947133,8028,7.67,28.15
Catalunya,0,0,0,11,197,3296591,32113,6.31,6.48
Andalusia,116,180,296,138,0,3577869,87599,12.13,4.95